Word,Translation,Part of Speech,Example Sentence,Example Translation
abandon,ละทิ้ง,v.,"""They had to abandon their old car.""","""พวกเขาต้องละทิ้งรถคันเก่า"""
absolute,แน่นอน,adj.,"""The rule is absolute; there are no exceptions.""","""กฎถือเป็นสัมบูรณ์ ไม่มีข้อยกเว้น"""
absorb,ดูดซับ,v.,"""The sponge will absorb the spilled water.""","""ฟองน้ำจะดูดซับน้ำที่หกออกมา"""
abstract,เชิงนามธรรม,adj.,"""The painting is abstract, filled with vibrant colors.""","""ภาพวาดที่เป็นนามธรรมเต็มไปด้วยสีสันสดใส"""
academic,เชิงวิชาการ,n.,"""She pursued an academic career in science.""","""เธอมีอาชีพทางวิชาการด้านวิทยาศาสตร์"""
accent,สำเนียง,n.,"""Her accent revealed her European background.""","""สำเนียงของเธอเผยให้เห็นภูมิหลังในยุโรปของเธอ"""
acceptable,ยอมรับได้,adj.,"""Your behavior is not acceptable in this class.""","""พฤติกรรมของคุณไม่เป็นที่ยอมรับในชั้นเรียนนี้"""
accidentally,โดยบังเอิญ,adv.,"""I accidentally dropped my phone on the floor.""","""ฉันทำโทรศัพท์ตกพื้นโดยไม่ได้ตั้งใจ"""
accommodate,รองรับ,v.,"""The hotel can accommodate up to 200 guests.""","""โรงแรมสามารถรองรับแขกได้มากถึง 200 ท่าน"""
accompany,มาพร้อมกับ,v.,"""He will accompany you to the conference.""","""เขาจะพาคุณไปสัมมนา"""
accomplish,ทำให้สำเร็จ,v.,"""We must accomplish our goals before the deadline.""","""เราต้องบรรลุเป้าหมายของเราก่อนถึงเส้นตาย"""
accountant,นักบัญชี,n.,"""The accountant managed the company's finances.""","""นักบัญชีจัดการการเงินของบริษัท"""
account,บัญชี,v.,"""Please provide an accurate account of the incident.""","""โปรดระบุเหตุการณ์ที่เกิดขึ้นให้ถูกต้อง"""
accuracy,ความแม่นยำ,n.,"""They accuse him of stealing the money.""","""พวกเขากล่าวหาว่าเขาขโมยเงิน"""
accuse,กล่าวโทษ,v.,"""Be careful; that substance is highly acidic.""","""ระวัง; สารนั้นมีความเป็นกรดสูง"""
acid,กรด,n.,"""He didn't acknowledge my presence in the room.""","""เขาไม่ยอมรับว่าฉันอยู่ในห้อง"""
acknowledge,รับทราบ,v.,"""She will acquire new skills through training.""","""เธอจะได้รับทักษะใหม่ๆ ผ่านการฝึกฝน"""
acquire,ได้รับ,v.,"""You need to activate your membership online.""","""คุณต้องเปิดใช้งานการเป็นสมาชิกของคุณทางออนไลน์"""
activate,เปิดใช้งาน,v.,"""The actual size of the book is larger than I expected.""","""ขนาดที่แท้จริงของหนังสือใหญ่กว่าที่ฉันคาดไว้"""
