Word,Translation,Part of Speech,Example Sentence,Translation
abolish,ยกเลิก,v.,I want to abolish this outdated law.,ฉันต้องการยกเลิกกฎหมายที่ล้าสมัยนี้
abortion,การทำแท้ง,n.,Our views on abortion differ greatly.,มุมมองของเราเกี่ยวกับการทำแท้งแตกต่างกันอย่างมาก
absence,ขาด,n.,His absence at the meeting was noticed.,สังเกตเห็นว่าเขาไม่อยู่ในที่ประชุม
absent,ไม่มา,adj.,I was absent from school yesterday.,เมื่อวานฉันขาดเรียน
absurd,ไร้สาระ,adj.,It's absurd to think that way.,มันไร้สาระที่จะคิดแบบนั้น
abundance,ความอุดมสมบูรณ์,n.,There's an abundance of food here.,ที่นี่มีอาหารมากมาย
abuse,ใช้ในทางที่ผิด,n./ v.,We must not tolerate abuse.,เราต้องไม่ทนต่อการละเมิด
academy,สถาบันการศึกษา,n.,She graduated from the academy.,เธอสำเร็จการศึกษาจากสถาบันการศึกษา
accelerate,เร่งความเร็ว,v.,Let's accelerate our progress.,มาเร่งความก้าวหน้าของเรากันเถอะ
acceptance,การยอมรับ,n.,Acceptance of the proposal was unanimous.,การยอมรับข้อเสนอมีมติเป็นเอกฉันท์
accessible,เข้าถึงได้,adj.,The information is easily accessible.,ข้อมูลสามารถเข้าถึงได้ง่าย
accomplishment,ความสำเร็จ,n.,My biggest accomplishment is finishing the race.,ความสำเร็จที่ยิ่งใหญ่ที่สุดของฉันคือการจบการแข่งขัน
accordance,ตาม,n.,We'll proceed in accordance with the plan.,เราจะดำเนินการตามแผน
accordingly,ตามนั้น,adv.,"Accordingly, I made the necessary changes.",ดังนั้นฉันจึงทำการเปลี่ยนแปลงที่จำเป็น
accountability,ความรับผิดชอบ,n.,Accountability is crucial in this project.,ความรับผิดชอบเป็นสิ่งสำคัญในโครงการนี้
accountable,รับผิดชอบ,adj.,I am accountable for my actions.,ฉันรับผิดชอบต่อการกระทำของฉัน
accumulate,สะสม,v.,I need to accumulate more savings.,ฉันต้องสะสมเงินออมให้มากขึ้น
accumulation,การสะสม,n.,The accumulation of wealth can be challenging.,การสะสมความมั่งคั่งอาจเป็นเรื่องท้าทาย
accusation,ข้อกล่าวหา,n.,The accusation was baseless.,ข้อกล่าวหาไม่มีมูลความจริง
accused,ผู้ถูกกล่าวหา,n.,The accused pleaded not guilty.,ผู้ต้องหาให้การรับสารภาพไม่มีความผิด
acid,กรด,adj.,The chemical reaction produced acid.,ปฏิกิริยาเคมีทำให้เกิดกรด
acquisition,การได้มา,n.,They completed the acquisition of the company.,พวกเขาเข้าซื้อบริษัทเรียบร้อยแล้ว
acre,เอเคอร์,n.,The farm spans over a hundred acres.,ฟาร์มครอบคลุมพื้นที่กว่าร้อยเอเคอร์
activist,นักเคลื่อนไหว,n.,She's an environmental activist.,เธอเป็นนักกิจกรรมด้านสิ่งแวดล้อม
acute,เฉียบพลัน,adj.,He has an acute sense of smell.,เขามีกลิ่นเฉียบพลัน
adaptation,การปรับตัว,n.,Adaptation is necessary in new environments.,การปรับตัวเป็นสิ่งจำเป็นในสภาพแวดล้อมใหม่
adhere,ปฏิบัติตาม,v.,I adhere to a healthy diet.,ฉันปฏิบัติตามอาหารเพื่อสุขภาพ
adjacent,ที่อยู่ติดกัน,adj.,Our houses are adjacent to each other.,บ้านของเราอยู่ติดกัน
adjustment,การปรับตัว,n.,The adjustment to the new schedule was tough.,การปรับเปลี่ยนกำหนดการใหม่เป็นเรื่องยาก
administer,บริหารจัดการ,v.,She will administer the medication.,เธอจะจัดยาให้
admission,การรับเข้า,n.,Her admission to the university was a dream come true.,การเข้าศึกษาต่อในมหาวิทยาลัยของเธอคือความฝันที่เป็นจริง
adolescent,วัยรุ่น,n.,Adolescents often experience rapid growth.,วัยรุ่นมักเติบโตอย่างรวดเร็ว
adoption,การรับเลี้ยงบุตรบุญธรรม,n.,Adoption can provide children with loving families.,การรับเลี้ยงบุตรบุญธรรมสามารถให้เด็กมีครอบครัวที่รักได้
adverse,ไม่พึงประสงค์,adj.,The adverse effects of the drug were severe.,ผลข้างเคียงของยามีความรุนแรง
advocate,สนับสนุน,n./ v.,She's a strong advocate for animal rights.,เธอเป็นผู้สนับสนุนอย่างแข็งขันเพื่อสิทธิสัตว์
aesthetic,เกี่ยวกับความงาม,adj.,The artwork has a unique aesthetic appeal.,งานศิลปะมีสุนทรียภาพอันเป็นเอกลักษณ์
affection,เสน่หา,n.,He showed his affection with a warm hug.,เขาแสดงความรักด้วยการกอดอันอบอุ่น
aftermath,ควันหลง,n.,The aftermath of the storm was devastating.,ผลพวงของพายุก็สร้างความเสียหายร้ายแรง
aggression,ความก้าวร้าว,n.,Aggression should never be the answer.,ความก้าวร้าวไม่ควรเป็นคำตอบ
agricultural,เกษตรกรรม,adj.,Agricultural practices vary by region.,แนวทางปฏิบัติทางการเกษตรแตกต่างกันไปตามภูมิภาค
aide,ผู้ช่วย,n.,The aide helped the student with their homework.,ผู้ช่วยช่วยนักเรียนทำการบ้าน
albeit,แม้ว่า,conj.,"She's a talented artist, albeit young.",เธอเป็นศิลปินที่มีพรสวรรค์แม้จะอายุน้อยก็ตาม
alert,เตือน,v./ n./ adj.,Stay alert when walking alone at night.,ตื่นตัวเมื่อเดินคนเดียวในเวลากลางคืน
alien,คนต่างด้าว,adj.,The mysterious lights in the sky were alien.,แสงลึกลับบนท้องฟ้าเป็นมนุษย์ต่างดาว
align,จัดตำแหน่ง,v.,Let's align our goals for the project.,มาปรับเป้าหมายของเราสำหรับโครงการกันเถอะ
alike,เหมือนกัน,adv./ adj.,Their personalities are quite alike.,บุคลิกของพวกเขาค่อนข้างเหมือนกัน
allege,กล่าวหา,v.,He would allege his innocence in court.,เขาจะกล่าวหาความบริสุทธิ์ของเขาในศาล
alliance,พันธมิตร,n.,The alliance between the two countries is strong.,ความเป็นพันธมิตรระหว่างทั้งสองประเทศมีความแข็งแกร่ง
allocate,จัดสรร,v.,We need to allocate more funds to education.,เราจำเป็นต้องจัดสรรเงินทุนเพื่อการศึกษามากขึ้น
allowance,เบี้ยเลี้ยง,n.,His monthly allowance is quite generous.,เบี้ยเลี้ยงรายเดือนของเขาค่อนข้างใจกว้าง
ally,พันธมิตร,n.,They became allies in the battle.,พวกเขากลายเป็นพันธมิตรในการรบ
aluminium,อลูมิเนียม,n.,The boat's frame is made of aluminum.,โครงเรือทำจากอลูมิเนียม
amateur,มือสมัครเล่น,adj./ n.,He's an amateur photographer.,เขาเป็นช่างภาพสมัครเล่น
ambassador,เอกอัครราชทูต,n.,The ambassador represents our country abroad.,เอกอัครราชทูตเป็นตัวแทนของประเทศของเราในต่างประเทศ
amend,แก้ไข,v.,Let's amend the agreement to be fair for both parties.,ขอแก้ไขข้อตกลงให้เป็นธรรมทั้งสองฝ่าย
amid,ท่ามกลาง,prep.,We met amid the bustling city streets.,เราพบกันท่ามกลางถนนในเมืองอันพลุกพล่าน
analogy,การเปรียบเทียบ,n.,She used an analogy to explain the concept.,เธอใช้การเปรียบเทียบเพื่ออธิบายแนวคิดนี้
anchor,สมอ,n.,The anchor held the ship in place.,สมอเรือก็ยึดเรือให้อยู่กับที่
angel,นางฟ้า,n.,Many people believe in guardian angels.,หลายคนเชื่อเรื่องเทวดาผู้พิทักษ์
anonymous,ไม่ระบุชื่อ,adj.,The letter was sent by an anonymous sender.,จดหมายถูกส่งโดยผู้ส่งที่ไม่ระบุชื่อ
apparatus,อุปกรณ์,n.,I'll need some apparatus for the experiment.,ฉันจะต้องมีอุปกรณ์บางอย่างสำหรับการทดลอง
appealing,น่าสนใจ,adj.,Isn't that painting appealing to you?,ภาพวาดนั้นไม่ดึงดูดใจคุณเหรอ?
appetite,ความอยากอาหาร,n.,My appetite has been quite low lately.,ความอยากอาหารของฉันค่อนข้างต่ำเมื่อเร็ว ๆ นี้
applaud,ปรบมือ,v.,We should applaud their hard work.,เราควรชื่นชมการทำงานหนักของพวกเขา
applicable,ใช้ได้,adj.,Is this rule applicable to everyone?,กฎนี้ใช้ได้กับทุกคนหรือไม่?
appoint,แต่งตั้ง,v.,They will appoint a new manager soon.,พวกเขาจะแต่งตั้งผู้จัดการคนใหม่เร็วๆ นี้
appreciation,ความชื่นชม,n.,I express my appreciation for your help.,ฉันแสดงความขอบคุณสำหรับความช่วยเหลือของคุณ
arbitrary,โดยพลการ,adj.,Some consider the decision arbitrary.,บางคนพิจารณาการตัดสินใจตามอำเภอใจ
architectural,สถาปัตยกรรม,adj.,The architectural design is impressive.,การออกแบบทางสถาปัตยกรรมนั้นน่าประทับใจ
archive,คลังเก็บเอกสารสำคัญ,n.,We need to check the archive for that document.,เราจำเป็นต้องตรวจสอบไฟล์เก็บถาวรสำหรับเอกสารนั้น
arena,สนามกีฬา,n.,Are you ready to compete in the arena?,คุณพร้อมที่จะแข่งขันในเวทีแล้วหรือยัง?
arguably,เนื้อหา,adv.,"Arguably, this is the best restaurant in town.",อาจเป็นร้านอาหารที่ดีที่สุดในเมือง
arm,แขน,v.,Can I borrow your arm for a moment?,ฉันขอยืมแขนคุณสักครู่ได้ไหม?
array,อาร์เรย์,n.,There's a vast array of options to choose from.,มีตัวเลือกมากมายให้เลือก
articulate,พูดชัดแจ้ง,v.,She's very articulate when she speaks.,เธอพูดได้ชัดมากเมื่อเธอพูด
ash,เถ้า,n.,The ash from the fireplace needs cleaning.,ขี้เถ้าจากเตาผิงจำเป็นต้องทำความสะอาด
aspire,ทะเยอทะยาน,v.,I aspire to become a successful writer.,ฉันปรารถนาที่จะเป็นนักเขียนที่ประสบความสำเร็จ
assassination,การลอบสังหาร,n.,The assassination shocked the nation.,การลอบสังหารทำให้คนทั้งประเทศตกใจ
assault,การโจมตี,n./ v.,He was charged with assault last night.,เขาถูกตั้งข้อหาทำร้ายร่างกายเมื่อคืนนี้
assemble,ประกอบ,v.,Let's assemble the team for a meeting.,เรามารวบรวมทีมเพื่อประชุมกัน
assert,ยืนยัน,v.,They assert that the plan will succeed.,พวกเขายืนยันว่าแผนจะสำเร็จ
assurance,ความมั่นใจ,n.,I can give you my assurance on that.,ฉันสามารถให้ความมั่นใจแก่คุณได้
asylum,ลี้ภัย,n.,Seeking asylum is their only hope.,การขอลี้ภัยเป็นความหวังเดียวของพวกเขา
atrocity,ความโหดร้าย,n.,The atrocity of war is undeniable.,ความโหดร้ายของสงครามไม่อาจปฏิเสธได้
attain,บรรลุ,v.,We strive to attain our goals.,เรามุ่งมั่นที่จะบรรลุเป้าหมายของเรา
attendance,การเข้าร่วม,n.,Our attendance at the event is confirmed.,การเข้าร่วมงานของเราได้รับการยืนยันแล้ว
attorney,ทนายความ,n.,The attorney will represent you in court.,ทนายความจะเป็นตัวแทนคุณในศาล
attribute,คุณลักษณะ,v./ n.,What attribute do you value most in a person?,คุณลักษณะใดที่คุณให้ความสำคัญมากที่สุดในตัวบุคคล?
audit,การตรวจสอบ,n.,They will audit our financial records.,พวกเขาจะตรวจสอบบันทึกทางการเงินของเรา
authentic,แท้,adj.,Is this painting authentic or a replica?,ภาพวาดนี้เป็นของแท้หรือลอกเลียนแบบ?
authorize,อนุญาต,v.,Only the manager can authorize the purchase.,มีเพียงผู้จัดการเท่านั้นที่สามารถอนุมัติการซื้อได้
autonomy,เอกราช,n.,The country gained autonomy from colonial rule.,ประเทศได้รับเอกราชจากการปกครองอาณานิคม
availability,ความพร้อมใช้งาน,n.,The availability of tickets is limited.,ความพร้อมของตั๋วมีจำนวนจำกัด
await,รอ,v.,I await your response eagerly.,ฉันรอการตอบกลับของคุณอย่างกระตือรือร้น
backdrop,ฉากหลัง,n.,The beautiful sunset was a perfect backdrop.,พระอาทิตย์ตกที่สวยงามเป็นฉากหลังที่สมบูรณ์แบบ
backing,การสนับสนุน,n.,Their backing is crucial for our success.,การสนับสนุนของพวกเขาเป็นสิ่งสำคัญสำหรับความสำเร็จของเรา
backup,การสำรองข้อมูล,n.,Always make a backup of important files.,ทำการสำรองไฟล์สำคัญเสมอ
bail,ประกันตัว,n.,He was released on bail.,เขาได้รับการปล่อยตัวประกันตัว
ballot,บัตรลงคะแนน,n.,The election ballot is ready.,บัตรเลือกตั้งพร้อมแล้ว
banner,แบนเนอร์,n.,A colorful banner adorned the street.,ป้ายสีสันสดใสประดับตามถนน
bare,เปลือย,adj.,The garden is bare in winter.,สวนจะโล่งในฤดูหนาว
barrel,บาร์เรล,n.,The cellar is full of wine barrels.,ห้องใต้ดินเต็มไปด้วยถังไวน์
bass,เบส,n.,He caught a big bass while fishing.,เขาจับปลาเบสตัวใหญ่ขณะตกปลา
bat,ค้างคาว,v.,The baseball bat broke during the game.,ไม้เบสบอลหักระหว่างการแข่งขัน
battlefield,สนามรบ,n.,The battlefield was a scene of chaos.,สนามรบเป็นฉากแห่งความโกลาหล
bay,อ่าว,n.,The bay was calm and peaceful.,อ่าวก็เงียบสงบ
beam,คาน,n.,The lighthouse beam guided ships safely.,ลำแสงประภาคารนำทางเรืออย่างปลอดภัย
beast,สัตว์ร้าย,n.,The national park is home to various beasts.,อุทยานแห่งชาติเป็นที่อยู่ของสัตว์นานาชนิด
behalf,ในนามของ,n.,I'll speak on your behalf.,ฉันจะพูดแทนคุณ
beloved,ที่รัก,adj.,She is his beloved wife.,เธอเป็นภรรยาที่รักของเขา
bench,ม้านั่ง,n.,Please sit on the bench and rest.,กรุณานั่งบนม้านั่งและพักผ่อน
benchmark,เกณฑ์มาตรฐาน,n.,We use this data as a benchmark.,เราใช้ข้อมูลนี้เป็นเกณฑ์มาตรฐาน
beneath,ข้างใต้,prep.,Treasure lies buried beneath the earth.,สมบัติถูกฝังอยู่ใต้พื้นดิน
beneficiary,ผู้รับผลประโยชน์,n.,She is the beneficiary of his will.,เธอเป็นผู้รับผลประโยชน์จากพินัยกรรมของเขา
betray,ทรยศ,v.,He felt betrayed by his closest friend.,เขารู้สึกว่าถูกเพื่อนสนิทหักหลัง
bind,ผูก,v.,The chains bind the books together.,โซ่ผูกหนังสือไว้ด้วยกัน
biography,ชีวประวัติ,n.,I read a fascinating biography.,ฉันอ่านชีวประวัติที่น่าสนใจ
bishop,อธิการ,n.,The bishop conducted the church service.,พระสังฆราชทรงประกอบพิธีสงฆ์
bizarre,แปลกประหลาด,adj.,That was a bizarre coincidence.,นั่นเป็นเรื่องบังเอิญที่แปลกประหลาด
blade,ใบมีด,n.,Use a sharp blade to cut the paper.,ใช้ใบมีดคมๆ ตัดกระดาษ
blast,ระเบิด,n./ v.,The explosion caused a blast.,การระเบิดทำให้เกิดการระเบิด
bleed,มีเลือดออก,v.,Don't let the wound bleed too much.,อย่าปล่อยให้บาดแผลมีเลือดออกมากเกินไป
blend,ผสมผสาน,v./ n.,Blend the ingredients to make a smoothie.,ผสมส่วนผสมเพื่อทำสมูทตี้
blessing,พร,n.,May you receive blessings in abundance.,ขอให้ได้รับพรอันอุดม
boast,โม้,v.,He likes to boast about his achievements.,เขาชอบโอ้อวดเกี่ยวกับความสำเร็จของเขา
bonus,โบนัส,n.,The job comes with a generous bonus.,งานมาพร้อมกับโบนัสมากมาย
boom,บูม,n.,The economy experienced a sudden boom.,เศรษฐกิจประสบความเจริญอย่างกะทันหัน
bounce,เด้ง,v.,The ball will bounce if you drop it.,ลูกบอลจะเด้งถ้าคุณวางมัน
boundary,ขอบเขต,n.,The river forms a natural boundary.,แม่น้ำก่อให้เกิดขอบเขตตามธรรมชาติ
bow,โค้งคำนับ,v./ n.,She used a bow to tie the ribbon.,เธอใช้ธนูผูกริบบิ้น
breach,ฝ่าฝืน,n./ v.,The security breach was a major concern.,การละเมิดความปลอดภัยเป็นปัญหาสำคัญ
breakdown,พังทลาย,n.,The breakdown of the machine was unexpected.,เครื่องเสียอย่างไม่คาดคิด
