Word,Translation
abandon,ละทิ้ง
absolute,แน่นอน
absorb,ดูดซับ
abstract,เชิงนามธรรม
academic,เชิงวิชาการ
accent,สำเนียง
acceptable,ยอมรับได้
accidentally,โดยบังเอิญ
accommodate,รองรับ
accompany,มาพร้อมกับ
accomplish,ทำให้สำเร็จ
accountant,นักบัญชี
account,บัญชี
accuracy,ความแม่นยำ
accuse,กล่าวโทษ
acid,กรด
acknowledge,รับทราบ
acquire,ได้รับ
activate,เปิดใช้งาน
actual,แท้จริง
adapt,ปรับ
addiction,ติดยาเสพติด
additional,เพิ่มเติม
additionally,นอกจากนี้
address,ที่อยู่
adequate,เพียงพอ
adequately,อย่างเพียงพอ
adjust,ปรับ
administration,การบริหาร
adopt,รับเลี้ยง
advance,ก้าวหน้า
affair,ธุระ
affordable,ซื้อได้
afterwards,หลังจากนั้น
agency,เอเจนซี่
agenda,กำหนดการ
aggressive,ก้าวร้าว
agriculture,เกษตรกรรม
aid,ความช่วยเหลือ
AIDS,เอดส์
aircraft,อากาศยาน
alarm,เตือน
alien,คนต่างด้าว
alongside,ควบคู่ไปกับ
alter,เปลี่ยนแปลง
altogether,โดยสิ้นเชิง
ambulance,รถพยาบาล
amount,จำนวน
amusing,น่าขบขัน
analyst,นักวิเคราะห์
ancestor,บรรพบุรุษ
anger,ความโกรธ
angle,มุม
animation,แอนิเมชั่น
anniversary,วันครบรอบปี
annual,ประจำปี
anticipate,คาดหวัง
anxiety,ความวิตกกังวล
apology,ขอโทษ
apparent,ชัดเจน
apparently,เห็นได้ชัดว่า
appeal,อุทธรณ์
applicant,ผู้สมัคร
approach,เข้าใกล้
appropriate,เหมาะสม
approve,อนุมัติ
arise,เกิดขึ้น
arrow,ลูกศร
artificial,เทียม
artistic,ศิลปะ
artwork,งานศิลปะ
ashamed,ละอาย
aside,กัน
aspect,ด้าน
assess,ประเมิน
asset,สินทรัพย์
assign,กำหนด
assistance,ความช่วยเหลือ
associate,เชื่อมโยง
assume,สมมติ
assure,รับรอง
astonishing,น่าประหลาดใจ
attachment,สิ่งที่แนบมา
attempt,พยายาม
auction,ประมูล
audio,เสียง
automatic,อัตโนมัติ
awareness,การรับรู้
awkward,งุ่มง่าม
bacteria,แบคทีเรีย
barrier,สิ่งกีดขวาง
basically,โดยพื้นฐานแล้ว
battle,การต่อสู้
bear,หมี
beat,ตี
beg,ขอ
being,สิ่งมีชีวิต
bent,งอ
bet,เดิมพัน
beyond,เกิน
bitter,ขม
blame,ตำหนิ
blind,ตาบอด
bond,พันธบัตร
border,ชายแดน
breast,หน้าอก
brief,รวบรัด
broad,กว้างๆ
broadcast,ออกอากาศ
budget,งบประมาณ
bullet,กระสุน
bunch,กลุ่ม
burn,เผา
bush,พุ่มไม้
badge,ป้ายสถานะ
balanced,สมดุล
ballet,บัลเล่ต์
balloon,บอลลูน
barely,แทบจะไม่
bargain,ต่อรอง
basement,ชั้นใต้ดิน
basket,ตะกร้า
bat,ค้างคาว
beneficial,เป็นประโยชน์
beside,ข้าง
besides,นอกจาก
bias,อคติ
bid,เสนอราคา
biological,ทางชีวภาพ
blanket,ผ้าห่ม
blow,เป่า
bold,ตัวหนา
bombing,การวางระเบิด
booking,การจอง
boost,เพิ่ม
bound,ผูกพัน
brick,อิฐ
briefly,สั้น ๆ
broadcaster,ผู้ประกาศข่าว
broadly,กว้างๆ
bug,บั๊ก
cable,สายเคเบิล
calculate,คำนวณ
cancel,ยกเลิก
cancer,มะเร็ง
capable,มีความสามารถ
capacity,ความจุ
capture,การจับกุม
cast,หล่อ
catch,จับ
cell,เซลล์
chain,โซ่
chair,เก้าอี้
chairman,ประธาน
challenge,ท้าทาย
characteristic,ลักษณะเฉพาะ
chart,แผนภูมิ
cabin,ห้องโดยสาร
canal,คลอง
candle,เทียน
carbon,คาร์บอน
casual,ไม่เป็นทางการ
cave,ถ้ำ
certainty,ความมั่นใจ
certificate,ใบรับรอง
challenging,ที่ท้าทาย
championship,การแข่งขันชิงแชมป์
charming,มีเสน่ห์
chase,ไล่ล่า
cheek,แก้ม
cheer,เชียร์
choir,คณะนักร้องประสานเสียง
chop,สับ
circuit,วงจร
civilization,อารยธรรม
clarify,ชี้แจง
classify,จำแนกประเภท
clerk,พนักงาน
cliff,หน้าผา
clinic,คลินิก
